"date","User full name","max(time) - min(time)","Active hours","Grade"
"1",2022-09-08,"13905ac2381f4588069a4b2596afa756cea5d4dec3bf1bfd0079100988f7d3dd",491,0.136388888888889,"10th"
"2",2022-09-09,"13905ac2381f4588069a4b2596afa756cea5d4dec3bf1bfd0079100988f7d3dd",25542,7.095,"10th"
"3",2022-09-11,"13905ac2381f4588069a4b2596afa756cea5d4dec3bf1bfd0079100988f7d3dd",18,0.005,"10th"
"4",2022-09-12,"13905ac2381f4588069a4b2596afa756cea5d4dec3bf1bfd0079100988f7d3dd",171,0.0475,"10th"
"5",2022-09-13,"13905ac2381f4588069a4b2596afa756cea5d4dec3bf1bfd0079100988f7d3dd",28,0.00777777777777778,"10th"
"6",2022-09-14,"13905ac2381f4588069a4b2596afa756cea5d4dec3bf1bfd0079100988f7d3dd",3705,1.02916666666667,"10th"
"7",2022-09-17,"13905ac2381f4588069a4b2596afa756cea5d4dec3bf1bfd0079100988f7d3dd",1445,0.401388888888889,"10th"
"8",2022-09-18,"13905ac2381f4588069a4b2596afa756cea5d4dec3bf1bfd0079100988f7d3dd",13,0.00361111111111111,"10th"
"9",2022-09-23,"13905ac2381f4588069a4b2596afa756cea5d4dec3bf1bfd0079100988f7d3dd",34044,9.45666666666667,"10th"
"10",2022-09-25,"13905ac2381f4588069a4b2596afa756cea5d4dec3bf1bfd0079100988f7d3dd",753,0.209166666666667,"10th"
"11",2022-09-28,"13905ac2381f4588069a4b2596afa756cea5d4dec3bf1bfd0079100988f7d3dd",4409,1.22472222222222,"10th"
"12",2022-09-30,"13905ac2381f4588069a4b2596afa756cea5d4dec3bf1bfd0079100988f7d3dd",14199,3.94416666666667,"10th"
"13",2022-10-01,"13905ac2381f4588069a4b2596afa756cea5d4dec3bf1bfd0079100988f7d3dd",627,0.174166666666667,"10th"
"14",2022-10-02,"13905ac2381f4588069a4b2596afa756cea5d4dec3bf1bfd0079100988f7d3dd",389,0.108055555555556,"10th"
"15",2022-10-03,"13905ac2381f4588069a4b2596afa756cea5d4dec3bf1bfd0079100988f7d3dd",1845,0.5125,"10th"
"16",2022-10-04,"13905ac2381f4588069a4b2596afa756cea5d4dec3bf1bfd0079100988f7d3dd",155,0.0430555555555556,"10th"
"17",2022-10-06,"13905ac2381f4588069a4b2596afa756cea5d4dec3bf1bfd0079100988f7d3dd",2977,0.826944444444444,"10th"
"18",2022-10-11,"13905ac2381f4588069a4b2596afa756cea5d4dec3bf1bfd0079100988f7d3dd",93,0.0258333333333333,"10th"
"19",2022-10-12,"13905ac2381f4588069a4b2596afa756cea5d4dec3bf1bfd0079100988f7d3dd",13426,3.72944444444444,"10th"
"20",2022-10-16,"13905ac2381f4588069a4b2596afa756cea5d4dec3bf1bfd0079100988f7d3dd",2059,0.571944444444444,"10th"
"21",2022-10-19,"13905ac2381f4588069a4b2596afa756cea5d4dec3bf1bfd0079100988f7d3dd",2357,0.654722222222222,"10th"
"22",2022-11-02,"13905ac2381f4588069a4b2596afa756cea5d4dec3bf1bfd0079100988f7d3dd",271,0.0752777777777778,"10th"
"23",2022-11-03,"13905ac2381f4588069a4b2596afa756cea5d4dec3bf1bfd0079100988f7d3dd",32987,9.16305555555556,"10th"
"24",2022-11-07,"13905ac2381f4588069a4b2596afa756cea5d4dec3bf1bfd0079100988f7d3dd",52,0.0144444444444444,"10th"
"25",2022-11-09,"13905ac2381f4588069a4b2596afa756cea5d4dec3bf1bfd0079100988f7d3dd",115,0.0319444444444444,"10th"
"26",2022-11-12,"13905ac2381f4588069a4b2596afa756cea5d4dec3bf1bfd0079100988f7d3dd",15807,4.39083333333333,"10th"
"27",2022-11-13,"13905ac2381f4588069a4b2596afa756cea5d4dec3bf1bfd0079100988f7d3dd",5413,1.50361111111111,"10th"
"28",2022-11-16,"13905ac2381f4588069a4b2596afa756cea5d4dec3bf1bfd0079100988f7d3dd",3540,0.983333333333333,"10th"
"29",2022-11-18,"13905ac2381f4588069a4b2596afa756cea5d4dec3bf1bfd0079100988f7d3dd",227,0.0630555555555556,"10th"
"30",2022-11-23,"13905ac2381f4588069a4b2596afa756cea5d4dec3bf1bfd0079100988f7d3dd",938,0.260555555555556,"10th"
"31",2022-11-27,"13905ac2381f4588069a4b2596afa756cea5d4dec3bf1bfd0079100988f7d3dd",13286,3.69055555555556,"10th"
